City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,57.81,91,97,7.0,NZ,Thu Oct 26 16:32:53 2023
1,qaqortoq,60.7167,-46.0333,32.86,63,31,3.83,GL,Thu Oct 26 16:29:16 2023
2,hithadhoo,-0.6,73.0833,81.25,77,33,16.89,MV,Thu Oct 26 16:32:55 2023
3,yellowknife,62.456,-114.3525,30.42,77,75,16.11,CA,Thu Oct 26 16:31:03 2023
4,edinburgh of the seven seas,-37.0676,-12.3116,54.28,62,100,9.86,SH,Thu Oct 26 16:32:57 2023
5,grytviken,-54.2811,-36.5092,34.75,98,100,12.39,GS,Thu Oct 26 16:32:58 2023
6,cidreira,-30.1811,-50.2056,62.62,70,35,10.8,BR,Thu Oct 26 16:32:58 2023
7,lompoc,34.6391,-120.4579,79.02,71,20,20.71,US,Thu Oct 26 16:32:59 2023
8,wailua homesteads,22.0669,-159.378,82.13,66,0,5.75,US,Thu Oct 26 16:33:00 2023
9,punta arenas,-53.15,-70.9167,44.71,49,40,19.57,CL,Thu Oct 26 16:30:23 2023
10,kingston,17.997,-76.7936,90.55,64,40,8.05,JM,Thu Oct 26 16:30:22 2023
11,bethel,41.3712,-73.414,80.69,52,0,12.66,US,Thu Oct 26 16:32:01 2023
12,hawaiian paradise park,19.5933,-154.9731,81.91,87,75,3.0,US,Thu Oct 26 16:33:05 2023
13,palmer,42.1584,-72.3287,79.23,51,28,2.42,US,Thu Oct 26 16:33:05 2023
14,adamstown,-25.066,-130.1015,72.37,79,90,11.12,PN,Thu Oct 26 16:33:06 2023
15,port-aux-francais,-49.35,70.2167,35.6,80,100,21.54,TF,Thu Oct 26 16:33:07 2023
16,behompy,-23.2496,43.8557,67.6,62,3,4.65,MG,Thu Oct 26 16:33:08 2023
17,selfoss,63.9331,-20.9971,41.04,76,70,6.4,IS,Thu Oct 26 16:33:09 2023
18,thompson,55.7435,-97.8558,28.56,43,100,10.36,CA,Thu Oct 26 16:30:06 2023
19,nieuw amsterdam,5.8833,-55.0833,95.16,74,81,12.48,SR,Thu Oct 26 16:33:11 2023
20,saint-joseph,-21.3667,55.6167,75.58,85,5,2.59,RE,Thu Oct 26 16:33:12 2023
21,bilibino,68.0546,166.4372,-1.7,100,91,3.44,RU,Thu Oct 26 16:33:13 2023
22,fort st. john,56.2499,-120.8529,26.49,68,75,9.22,CA,Thu Oct 26 16:30:06 2023
23,keflavik,64.0049,-22.5624,43.23,93,0,4.61,IS,Thu Oct 26 16:33:15 2023
24,belmonte,-15.8631,-38.8828,78.94,83,55,14.36,BR,Thu Oct 26 16:33:17 2023
25,ushtobe,45.2514,77.9838,51.57,47,100,9.1,KZ,Thu Oct 26 16:33:18 2023
26,gizo,-8.103,156.8419,79.09,82,100,2.19,SB,Thu Oct 26 16:33:18 2023
27,marotta,43.764,13.1477,74.1,63,100,3.0,IT,Thu Oct 26 16:33:19 2023
28,puerto natales,-51.7236,-72.4875,45.05,53,40,13.8,CL,Thu Oct 26 16:33:20 2023
29,isafjordur,66.0755,-23.124,39.16,92,80,3.53,IS,Thu Oct 26 16:33:21 2023
30,port mathurin,-19.6833,63.4167,75.76,77,42,15.05,MU,Thu Oct 26 16:33:22 2023
31,aykhal,66.0,111.5,3.31,100,81,0.89,RU,Thu Oct 26 16:33:23 2023
32,mhamid,29.82,-5.72,77.56,16,1,5.64,MA,Thu Oct 26 16:33:23 2023
33,iqaluit,63.7506,-68.5145,28.13,69,75,0.0,CA,Thu Oct 26 16:29:30 2023
34,fuglafjordur,62.244,-6.814,48.67,85,80,25.21,FO,Thu Oct 26 16:33:25 2023
35,coyhaique,-45.5752,-72.0662,54.21,66,75,4.61,CL,Thu Oct 26 16:31:42 2023
36,albany,42.6001,-73.9662,75.58,50,82,2.15,US,Thu Oct 26 16:32:21 2023
37,san ignacio,17.1561,-89.0714,91.54,58,40,6.91,BZ,Thu Oct 26 16:33:28 2023
38,tazacorte,28.629,-17.9293,74.37,79,75,10.36,ES,Thu Oct 26 16:33:28 2023
39,blackmans bay,-43.0167,147.3167,46.53,80,46,3.44,AU,Thu Oct 26 16:33:29 2023
40,badger,64.8,-147.5333,33.71,88,75,0.0,US,Thu Oct 26 16:33:30 2023
41,deoli,25.75,75.3833,70.12,35,0,2.17,IN,Thu Oct 26 16:33:31 2023
42,nikol'sk,53.7189,46.0712,27.48,67,100,12.17,RU,Thu Oct 26 16:33:32 2023
43,puerto ayora,-0.7393,-90.3518,87.76,86,34,8.99,EC,Thu Oct 26 16:31:21 2023
44,penapolis,-21.4197,-50.0775,85.14,57,86,7.65,BR,Thu Oct 26 16:33:33 2023
45,fale old settlement,-9.3852,-171.2468,83.05,79,77,14.56,TK,Thu Oct 26 16:33:34 2023
46,papatowai,-46.5619,169.4708,38.28,74,77,20.65,NZ,Thu Oct 26 16:33:35 2023
47,invercargill,-46.4,168.35,38.01,79,97,14.0,NZ,Thu Oct 26 16:33:36 2023
48,st. john's,47.5649,-52.7093,52.68,90,100,9.22,CA,Thu Oct 26 16:30:05 2023
49,vila velha,-20.3297,-40.2925,80.55,83,75,10.36,BR,Thu Oct 26 16:32:05 2023
50,grand-bassam,5.2118,-3.7388,78.76,90,82,8.03,CI,Thu Oct 26 16:33:39 2023
51,pedernales,18.0384,-71.744,82.89,73,83,3.89,DO,Thu Oct 26 16:33:40 2023
52,flying fish cove,-10.4217,105.6791,78.48,78,100,10.36,CX,Thu Oct 26 16:33:41 2023
53,margaret river,-33.95,115.0667,55.98,52,87,12.53,AU,Thu Oct 26 16:33:42 2023
54,bandarbeyla,9.4942,50.8122,79.97,83,73,11.07,SO,Thu Oct 26 16:33:43 2023
55,port elizabeth,-33.918,25.5701,66.31,74,0,18.41,ZA,Thu Oct 26 16:33:43 2023
56,newman,37.3138,-121.0208,66.24,49,1,8.99,US,Thu Oct 26 16:33:44 2023
57,patong,7.8961,98.2966,86.02,76,98,2.68,TH,Thu Oct 26 16:33:45 2023
58,tiksi,71.6872,128.8694,6.58,96,99,5.23,RU,Thu Oct 26 16:33:46 2023
59,petrovsk-zabaykal'skiy,51.273,108.843,30.49,75,54,2.98,RU,Thu Oct 26 16:33:47 2023
